id,Day,ROUTE_SURVEYEDCode
5948.0,Tuesday,UTA_1_2_00
6067.0,Tuesday,UTA_1_47_00
6073.0,Wednesday,UTA_1_750_01
6077.0,Wednesday,UTA_1_47_00
6078.0,Wednesday,UTA_1_220_00
6084.0,Wednesday,UTA_1_47_00
6085.0,Wednesday,UTA_1_750_01
6087.0,Wednesday,UTA_1_750_01
6089.0,Wednesday,UTA_1_47_00
6090.0,Wednesday,UTA_1_750_01
6091.0,Wednesday,UTA_1_220_00
6093.0,Wednesday,UTA_1_703_01
6095.0,Wednesday,UTA_1_750_01
6096.0,Wednesday,UTA_1_750_01
6101.0,Wednesday,UTA_1_701_01
6103.0,Wednesday,UTA_1_220_00
6107.0,Wednesday,UTA_1_750_01
6109.0,Wednesday,UTA_1_701_00
6119.0,Wednesday,UTA_1_701_00
6121.0,Wednesday,UTA_1_701_01
6123.0,Wednesday,UTA_1_703_01
6126.0,Wednesday,UTA_1_703_00
6128.0,Wednesday,UTA_1_701_00
6129.0,Wednesday,UTA_1_701_00
6138.0,Wednesday,UTA_1_701_00
6142.0,Wednesday,UTA_1_701_00
6143.0,Wednesday,UTA_1_701_01
6145.0,Wednesday,UTA_1_703_00
6146.0,Wednesday,UTA_1_750_00
6149.0,Wednesday,UTA_1_220_01
6153.0,Wednesday,UTA_1_750_00
6154.0,Wednesday,UTA_1_701_00
6156.0,Wednesday,UTA_1_701_01
6160.0,Wednesday,UTA_1_703_00
6161.0,Wednesday,UTA_1_701_00
6163.0,Wednesday,UTA_1_220_01
6164.0,Wednesday,UTA_1_701_01
6165.0,Wednesday,UTA_1_701_00
6169.0,Wednesday,UTA_1_701_01
6170.0,Wednesday,UTA_1_701_01
6171.0,Wednesday,UTA_1_220_01
6175.0,Wednesday,UTA_1_701_01
6176.0,Wednesday,UTA_1_750_00
6177.0,Wednesday,UTA_1_703_00
6178.0,Wednesday,UTA_1_750_00
6180.0,Wednesday,UTA_1_220_00
6181.0,Wednesday,UTA_1_701_01
6182.0,Wednesday,UTA_1_701_01
6183.0,Wednesday,UTA_1_701_00
6184.0,Wednesday,UTA_1_703_00
6187.0,Wednesday,UTA_1_220_01
6189.0,Wednesday,UTA_1_701_01
6191.0,Wednesday,UTA_1_701_01
6193.0,Wednesday,UTA_1_701_00
6195.0,Wednesday,UTA_1_703_01
6198.0,Wednesday,UTA_1_703_01
6200.0,Wednesday,UTA_1_701_01
6207.0,Wednesday,UTA_1_703_01
6208.0,Wednesday,UTA_1_703_01
6210.0,Wednesday,UTA_1_701_01
6213.0,Wednesday,UTA_1_703_01
6214.0,Wednesday,UTA_1_703_01
6217.0,Wednesday,UTA_1_701_01
6221.0,Wednesday,UTA_1_1_00
6224.0,Wednesday,UTA_1_703_01
6225.0,Wednesday,UTA_1_220_01
6226.0,Wednesday,UTA_1_750_01
6227.0,Wednesday,UTA_1_701_01
6229.0,Wednesday,UTA_1_750_01
6232.0,Wednesday,UTA_1_750_01
6234.0,Wednesday,UTA_1_701_01
6236.0,Wednesday,UTA_1_701_01
